Complexity,Loss,Equation
1,0.73642236,"1.8522173"
3,0.3681337,"k * 21.090593"
4,0.36654556,"tanh(k) * 21.183294"
5,0.279034,"(k * 17.70592) + T"
6,0.2755686,"sqrt(T) + (k * 15.729581)"
7,0.21003799,"(T + 2.9667041) + (-0.10166946 / k)"
8,0.20079419,"(sqrt(T) + 2.769455) + (-0.10166998 / k)"
9,0.14832771,"(((h * 0.0062413467) + -0.13024038) / k) + 3.3045092"
10,0.14069192,"(-0.10167009 / k) + ((tanh(h) + T) + 2.3001184)"
11,0.0751512,"(((h * 0.00624133) + -0.13023935) / k) + (T + 2.9667108)"
12,0.065907374,"(((h * 0.0062413327) + -0.13023962) / k) + (sqrt(T) + 2.7694578)"
13,0.049572997,"(((-0.0027957414 / T) + ((h * 0.006241456) + -0.11048258)) / k) + 3.3044927"
14,0.04803736,"(((-0.016337564 / sqrt(T)) + ((h * 0.0062413216) + -0.09174535)) / k) + 3.3044946"
15,0.029400941,"((((h / s) * 0.007741546) + (-0.11157258 + (-0.002795805 / T))) / k) + 3.3044622"
16,0.02654104,"(((((h * 0.008446383) / square(s)) + -0.109723866) + (-0.0027956874 / T)) / k) + 3.3045123"
17,0.026100753,"(-0.120980635 / (T + k)) + (((((h * 0.007741545) / s) + -0.118949495) / k) + 3.573852)"
18,0.023723044,"((((h * (0.007741542 / s)) + -0.13086179) + (-0.0027958192 / T)) / k) + square(1.9773909 - k)"
19,0.017554501,"(((h * (0.007746961 / s)) + -0.22178534) / k) + (((-0.011493263 / T) + 1.2781384) / (k + 0.17958856))"
20,0.015002058,"((((h / square(s)) * 0.008464114) + -0.19768235) / k) + (((-0.014331224 / T) + 1.4823507) / (k + 0.2410553))"
21,0.014252655,"((((h * 0.008496954) / square(s)) + -0.20178017) / k) + (((-0.01029184 / T) + exp(k)) / (k + 0.15286013))"
22,0.013937938,"(((-0.00982902 / T) + 0.863459) / (k + 0.14251636)) + (0.923089 + (((h * (0.008452913 / square(s))) + -0.21244289) / k))"
23,0.013937854,"(((-0.00982902 / T) + 0.863459) / (k + 0.14251636)) + (cos(-0.39432824) + (((h * (0.008452913 / square(s))) + -0.21244289) / k))"
24,0.0116202105,"((-0.12219194 / (k + T)) + (2.6505518 / (0.35425907 + k))) + (((((0.008450829 * h) / square(s)) + -0.1881671) / k) + -1.4719172)"
25,0.011596481,"((-0.12217202 / (tanh(k) + T)) + ((4.3570957 / (k + 0.49078965)) + ((((h / square(s)) * 0.008448592) + -0.18468453) / k))) + -3.043805"
28,0.011184219,"(((-0.14945154 / (k + (T * 1.6043642))) + (((((h * 0.008443453) / square(s)) + -0.1881695) / k) + -1.6822714)) + (2.6507063 / (k + 0.34847394))) + k"
